word,frequency,length
tackle,16,6
sailor,19,6
faster,26,6
nowhere,32,7
carved,28,6
stone,83,5
depths,26,6
gaze,18,4
stirred,22,7
topics,14,6
status,107,6
quo,15,3
radically,17,9
compared,79,8
percentages,15,11
uniform,60,7
across,300,6
specialities,3,12
dictated,12,8
chaplain,9,8
angrily,19,7
never,710,5
exact,39,5
deaths,17,6
rejected,63,8
synthesis,25,9
progressing,9,11
twenty,188,6
visual,55,6
arts,98,4
expense,56,7
charity,16,7
pembrokeshire,10,13
deformation,15,11
quake,5,5
bend,32,4
pipelines,2,9
strands,7,7
wire,56,4
election,92,8
already,293,7
realize,71,7
pentecost,11,9
ecumenical,37,10
jesus,87,5
disciples,22,9
means,334,5
opposition,56,10
living,207,6
wheels,31,6
ran,161,3
wet,63,3
turf,9,4
whole,324,5
crumpled,12,8
fell,120,4
animal,84,6
chest,72,5
jenna,10,5
stopped,157,7
faced,74,5
speak,130,5
tilted,18,6
strong,228,6
brown,216,5
newly,39,5
arrived,72,7
beaufighters,6,12
mistaken,23,8
carrington,10,10
watched,83,7
enchanted,9,9
scandinavian,11,12
sleep,89,5
recorded,69,8
cot,7,3
death,313,5
inquest,9,7
pictorial,8,9
composition,30,11
shots,32,5
rules,118,5
arbitrary,25,9
actually,173,8
golden,65,6
court,283,5
horizon,36,7
sense,341,5
interview,62,9
solo,13,4
victim,41,6
fumbling,10,8
smokes,3,6
ten,192,3
assorted,6,8
uses,65,4
book,235,4
deep,133,4
michael,33,7
imagine,65,7
sports,55,6
injury,35,6
increase,213,8
sportsman,7,9
gilmore,7,7
groin,16,5
occurs,33,6
tendons,6,7
tear,17,4
due,155,3
excessive,36,9
twisting,17,8
difference,160,10
sections,84,8
lies,46,4
fault,24,5
element,58,7
considerable,108,12
ideal,80,5
washer,10,6
dryer,12,5
sophisticated,34,13
utility,35,7
robbie,9,6
saw,377,3
clergyman,15,9
deputy,25,6
ministers,24,9
boris,21,5
shcherbina,6,10
forbade,5,7
evacuation,11,10
chernobyl,8,9
commission,115,10
moscow,60,6
weekend,46,7
associated,80,10
volatility,4,10
accordance,26,10
expectations,32,12
town,247,4
farm,144,4
ploughing,2,9
ahead,115,5
fundraising,6,11
schemes,10,7
handicapped,15,11
plans,129,5
roof,68,4
riding,51,6
disabled,18,8
credit,74,6
gavin,35,5
gave,320,4
ball,128,4
persuasion,19,10
drafts,9,6
prelude,15,7
germany,94,7
winter,95,6
cigarettes,25,10
unspoken,7,8
